sent0	sent1	hard_neg
what did randy jackson play in <e>?	ns:music.musical_group.member ?y .?y ns:music.group_membership.role ?x .	ns:music.artist.label ?y .?y ns:music.record_label.artist ?x .
who did james franco play on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.from ?x .
who won <e> mayoral elections 2012?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.government ?x .
what high school did <e> bill clinton attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.hud_county_place.county ?x .
who was governor of <e> when lakshmi kalyanam was released?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:common.topic.notable_types ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:base.yalebase.person.residential_college ?y .?y ns:base.yalebase.residential_college.college_abbreviation ?x .
what team did <e> play for in college?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:american_football.football_player.passing ?y .?y ns:american_football.player_passing_statistics.yards ?x .
what scottish films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:freebase.valuenotation.has_value ?y .?y ns:freebase.property_hints.deprecated ?x .
which member of royalty was the son of <e> of denmark	ns:people.person.sibling_s ?y .?y ns:people.sibling_relationship.sibling ?x .	ns:royalty.monarch.royal_line ?y .?y ns:royalty.royal_line.monarchs_from_this_line ?x .
who played carl fredricksen in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.directed_by ?y .?y ns:film.actor.film ?x .
when did mcgee start on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.seasons ?x .	ns:tv.tv_program.program_creator ?y .?y ns:tv.tv_writer.tv_programs ?x .
what irish films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:music.artist.origin ?y .?y ns:base.biblioness.bibs_topic.is_really ?x .
who does <e> play for 2012?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:people.person.place_of_birth ?y .?y ns:base.biblioness.bibs_location.loc_type ?x .
who played dumbledore in the <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.sequel ?y .?y ns:film.film.sequel ?x .
who plays meg in <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.regular_personal_appearances ?y .?y ns:tv.tv_regular_personal_appearance.from ?x .
who played <e> in the original star wars movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:base.fictionaluniverse.deceased_fictional_character.date_of_cremation ?y .?y ns:fictional_universe.fictional_date_time.portrayed_in ?x .
who is faster <e> or deshawn jackson?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.player ?x .	ns:american_football.football_player.receiving ?y .?y ns:american_football.player_receiving_statistics.team ?x .
who was the director of the movie <e>	ns:film.film.directed_by ?x .	ns:film.film.runtime ?x .
who won governor in <e> 2010?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.political_district.elections ?y .?y ns:government.election.office ?x .
what nba teams did <e> play for	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.team ?x .	ns:sports.sports_team_coach.teams_coached ?y .?y ns:sports.sports_team_coach_tenure.from ?x .
who is the president of <e>?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:organization.organization.founders ?y .?y ns:people.person.religion ?x .
where did <e> surrender ww2?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:location.location.containedby ?y .?y ns:base.locations.continents.planet ?x .
who plays <e> in the twilight movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.locations ?x .
what was basketball player <e>'s major in college?	ns:people.person.education ?y .?y ns:education.education.major_field_of_study ?x .	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.school ?x .
who does <e> play in over the hedge?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:film.film_subject.films ?y .?y ns:film.film.genre ?x .
who was president when <e> was vice president?	ns:government.us_vice_president.to_president ?x .	ns:government.politician.government_positions_held ?x .
who played <e> in the x files?	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.actor ?x .	ns:tv.tv_character.last_tv_appearance ?y .?y ns:tv.tv_series_episode.previous_episode ?x .
who will run for <e> in 2016 Democrat?	ns:base.popstra.celebrity.infidelity_perpetrator ?y .?y ns:base.popstra.infidelity.victim ?x .	ns:base.politicalconventions.presidential_nominee.nominated_at ?y .?y ns:base.politicalconventions.political_convention.final_presidential_vote_tally ?x .
what sort of cancer did <e> die of	ns:people.deceased_person.cause_of_death ?x .	ns:people.person.gender ?x .
who did the voice of <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.has_possessed ?y .?y ns:fictional_universe.fictional_object.destroyer ?x .
who played andy in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.film_release_region ?x .
who played <e> in heroes?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:base.fictionaluniverse.fictional_killer.characters_killed ?y .?y ns:tv.tv_character.appeared_in_tv_program ?x .
who was the president of <e> when franklin graham was born	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:military.military_unit_place_of_origin.military_units ?y .?y ns:organization.organization.headquarters ?x .
who is the richest person in sports sachin or <e>?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award_winner ?x .	ns:celebrities.celebrity.net_worth ?y .?y ns:measurement_unit.dated_money_value.valid_date ?x .
which <e> fought with cromwell during the english civil war?	ns:people.person.places_lived ?y .?y ns:people.place_lived.person ?x .	ns:kp_lw.philosophy_influencer.influencee ?y .?y ns:kp_lw.philosopher.influenced_by ?x .
which harry potter movies has <e> starred in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.from ?x .
what show was <e> in as a child?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:film.actor.film ?y .?y ns:film.performance.actor ?x .
what is <e> doing right now?	ns:tv.tv_personality.tv_regular_appearances ?y .?y ns:tv.tv_regular_personal_appearance.program ?x .	ns:people.person.places_lived ?y .?y ns:type.object.type ?x .
who is the owner and creater of the company <e>?	ns:award.award_winning_work.awards_won ?y .?y ns:award.award_honor.award_winner ?x .	ns:organization.organization.board_members ?y .?y ns:organization.organization_board_membership.organization ?x .
who was <e> coach in 2011?	ns:american_football.football_team.historical_coaching_staff ?y .?y ns:american_football.football_historical_coach_position.coach ?x .	ns:sports.sports_team.roster ?y .?y ns:sports.sports_team_roster.from ?x .
who is the current leader of <e> today?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_combatant ?x .
who does jemaine clement play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.runtime ?y .?y ns:type.object.type ?x .
which tv series has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:base.schemastaging.tv_actor_extra.regular_dubbing_performances ?y .?y ns:base.schemastaging.tv_star_dubbing_performance.language ?x .
which album did <e> release in 1986	ns:music.artist.album ?x .	ns:music.artist.home_page ?x .
who is the composer of <e>?	ns:music.composition.composer ?x .	ns:music.composition.date_completed ?x .
which film starring <e> was released in 2008	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .
which cambridge college did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.person ?x .
who is the leader of <e> 2012?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_position_or_title ?x .
who plays pennywise the dancing clown in the <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:film.film.starring ?y .?y ns:film.performance.film ?x .
who played <e> in the lord of the rings movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.gender ?y .?y ns:fictional_universe.character_gender.characters_of_this_gender ?x .
who was the actress in the movie <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.film_regional_debut_venue ?x .
who was president of the <e> when jim granberry was a teenager?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:measurement_unit.dated_percentage.rate ?x .
who plays <e> in lords of dogtown?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.type_of_appearance ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:user.avh.default_domain.ellerdale_topic.ellerdale_id ?x .
what team does <e> play for 2011?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.position_s ?y .?y ns:sports.sports_position.players ?x .
who is the richest person in sports sachin or <e>?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award_winner ?x .	ns:base.schemastaging.person_extra.net_worth ?y .?y ns:type.object.type ?x .
what movies has <e> been in 2011?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:people.person.profession ?y .?y ns:people.profession.people_with_this_profession ?x .
when was the last time <e> invaded another country?	ns:military.military_combatant.force_deployments ?y .?y ns:military.force_strength.military_conflict ?x .	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .
which tv series has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:film.actor.dubbing_performances ?y .?y ns:film.dubbing_performance.actor ?x .
who played <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.actor ?x .
where did <e> junior go to college?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.includes_groups ?x .
who plays sarah wittle in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.sequel ?y .?y ns:film.film.starring ?x .
who has won the most <e>?	ns:sports.sports_award_type.winners ?y .?y ns:sports.sports_award.award_winner ?x .	ns:sports.sports_championship.events ?y .?y ns:sports.sports_championship_event.season ?x .
who are the current <e> senators?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.location.people_born_here ?y .?y ns:government.u_s_congressperson.thomas_id ?x .
who are the 9 justices of the <e> in 2011?	ns:law.court.judges ?y .?y ns:law.judicial_tenure.judge ?x .	ns:law.court.inferior_courts ?y .?y ns:government.governmental_body.offices_positions ?x .
who has starred in the same tv shows as <e>	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:film.actor.film ?y .?y ns:film.performance.film ?x .
what university did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .
which poet was the son of <e>	ns:people.person.children ?x .	ns:book.author.works_written ?x .
which aries person was the daughter of <e>	ns:people.person.children ?x .	ns:people.person.spouse_s ?x .
which movie did <e> star in in 1956	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.nationality ?y .?y ns:cvg.cvg_publisher.games_published ?x .
who is mexico's president right now 2011?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:religion.religious_leadership_role.religious_titles ?x .
what date did the <e> win the world series?	ns:sports.sports_team.championships ?x .	ns:sports.sports_team.league ?x .
what are five countries that border <e>?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:location.location.partially_contained_by ?y .?y ns:type.object.type ?x .
who is <e>'s new husband?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.person.gender ?x .
who produced a midnight clear and <e>?	ns:film.film.produced_by ?x .	ns:film.film.directed_by ?x .
what state did <e> live in?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .	ns:people.person.places_lived ?y .?y ns:type.object.type ?x .
what <e> resigned from office in 1974?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:fictional_universe.character_occupation.characters_with_this_occupation ?y .?y ns:tv.tv_character.appeared_in_tv_episodes ?x .
who does danneel harris play on <e>?	ns:tv.tv_series_season.regular_cast ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_series_season.series ?y .?y ns:tv.tv_program.air_date_of_final_episode ?x .
who is the <e> made up of?	ns:government.governmental_body.members ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_body.committees ?y .?y ns:user.robert.us_congress.house_committee.chairperson ?x .
who is the new senator of <e>?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.location.people_born_here ?y .?y ns:people.person.weight_kg ?x .
who plays <e> in the muppets movie?	ns:influence.influence_node.influenced_by ?x .	ns:music.artist.track_contributions ?x .
what school did <e> go to before auburn?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.parents ?y .?y ns:people.person.gender ?x .
when did <e> win the superbowl?	ns:sports.sports_team.championships ?x .	ns:sports.professional_sports_team.draft_picks ?x .
who does <e> play in the hunger games?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
what team does <e> play for now?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.ftm ?x .
which movie did <e> star in in 1981	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.to ?x .
who was the first african american <e>?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.display_name ?x .
when did <e> won the gold medal?	ns:olympics.olympic_athlete.country ?y .?y ns:olympics.olympic_athlete_affiliation.olympics ?x .	ns:award.competitor.competitions_won ?y .?y ns:base.dancingwiththestars.season.celebrity_performer ?x .
where is <e> now?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:american_football.football_player.position_s ?y .?y ns:sports.sports_position.sport ?x .
which album did <e> release in october 2005	ns:music.artist.album ?x .	ns:music.artist.active_start ?x .
what team did <e> play for in 2009?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:soccer.football_player.statistics ?y .?y ns:soccer.football_player_stats.to ?x .
which album did <e> release in august 1999	ns:music.artist.album ?x .	ns:music.composer.compositions ?x .
when did Germany defeat France in World War 2?	ns:event.speech_topic.speeches_or_presentations_on_this_topic ?y .?y ns:event.speech_or_presentation.date ?x .	ns:base.architecture2.structure_damaging_event.damaged_structure ?y .?y ns:architecture.structure.closed ?x .
who play <e> in the 1996 film?	ns:film.film.written_by ?x .	ns:film.film.produced_by ?x .
who does <e> play for now 2011?	ns:base.x2010fifaworldcupsouthafrica.world_cup_participant.world_cup_team ?y .?y ns:base.x2010fifaworldcupsouthafrica.current_world_cup_squad.national_team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.salary ?x .
what year did president Obama graduate from Columbia University?	ns:education.educational_institution.students_graduates ?y .?y ns:education.education.end_date ?x .	ns:education.university.number_of_postgraduates ?y .?y ns:measurement_unit.dated_integer.year ?x .
when was the last time <e> invaded another country?	ns:military.military_combatant.force_deployments ?y .?y ns:military.force_strength.military_conflict ?x .	ns:base.schemastaging.disputed_location_claimant.disputed_territories ?y .?y ns:location.location.partially_containedby ?x .
which animated television serieses has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:tv.tv_personality.tv_regular_appearances ?y .?y ns:tv.tv_regular_personal_appearance.person ?x .
which tv shows has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .
when does school start in <e> 2011?	ns:travel.travel_destination.climate ?y .?y ns:travel.travel_destination_monthly_climate.month ?x .	ns:travel.travel_destination.guidebooks ?y .?y ns:common.topic.notable_types ?x .
who plays <e> in twilight?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.ethnicity ?y .?y ns:fictional_universe.character_rank.characters_of_this_rank ?x .
who was the voice of <e>'s dad?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.sequel ?y .?y ns:film.film.starring ?x .
which author was the daughter of <e>	ns:people.person.children ?x .	ns:freebase.valuenotation.is_reviewed ?x .
who is anne of <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.other_crew ?y .?y ns:film.film_crew_gig.crewmember ?x .
who does <e> play for in 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.date ?x .
where is <e> now?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:american_football.football_player.games ?y .?y ns:american_football.player_game_statistics.as_of_week ?x .
where did <e> live before he became president?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:location.location.containedby ?x .
who is better <e> or george lopez?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:type.object.type ?x .
what film <e> starred in that billy chung directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.award_nominee ?x .
what soviet films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.nationality ?y .?y ns:location.location.partially_contains ?x .
what has satish shah starred in that <e> directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:film.director.film ?y .?y ns:film.film.runtime ?x .
who won the <e> in 2008?	ns:sports.sports_award_type.winners ?y .?y ns:sports.sports_award.award_winner ?x .	ns:sports.sports_championship.events ?y .?y ns:sports.sports_championship_event.championship ?x .
who is anne of <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.notable_object ?x .
which movie did <e> star in in 2001	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.producer.film ?y .?y ns:film.film.country ?x .
who is the roman god of <e> besides pluto?	ns:fictional_universe.person_in_fiction.representations_in_fiction ?x .	ns:common.topic.notable_types ?x .
what is the nationality of mohammed v of <e>	ns:location.location.adjectival_form ?x .	ns:location.location.people_born_here ?x .
when did <e> win wimbledon?	ns:tennis.tennis_tournament_champion.tennis_titles ?y .?y ns:tennis.tennis_tournament_championship.year ?x .	ns:olympics.olympic_athlete.medals_won ?y .?y ns:olympics.olympic_medal_honor.olympics ?x .
who was the editor of the movie <e>	ns:film.film.edited_by ?x .	ns:film.film.written_by ?x .
who is the prime minister of <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.members ?x .
what scottish films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
where does <e> live now?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:type.object.type ?x .
who plays Layla in Big Daddy?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.release_date ?x .
which manufactured item did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.nationality ?y .?y ns:location.statistical_region.places_imported_from ?x .
which animated television serieses has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:type.object.type ?x .
who is faster <e> or deshawn jackson?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.player ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.athlete ?x .
who does <e> play in fast and furious?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .
what happened during <e> presidency?	ns:military.military_commander.military_commands ?y .?y ns:military.military_command.military_conflict ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:base.aubreymaturin.historical_event.mentioned_in ?x .
who was the first actor to play <e>?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.children ?y .?y ns:fictional_universe.fictional_character.gender ?x .
what scottish films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:award.ranked_item.appears_in_ranked_lists ?y .?y ns:award.ranking.list ?x .
who does <e> play for 2012?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:people.person.place_of_birth ?y .?y ns:location.location.containedby ?x .
what years have the <e> won the super bowl?	ns:sports.sports_team.championships ?x .	ns:user.dylanrocks.national_football_league.nfl_teams_that_have_moved_cities.destination_city ?x .
who was <e> when dil ne jise apna kahaa was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.object ?x .
what movie did <e> won his first oscar?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:base.saturdaynightlive.snl_fiver_timer.first_appearance ?y .?y ns:base.saturdaynightlive.snl_episode.musical_guest ?x .
who was born on the same day as <e>	ns:people.person.education ?y .?y ns:education.education.student ?x .	ns:people.person.place_of_birth ?y .?y ns:organization.organization_scope.organizations_with_this_scope ?x .
what year <e> came in the nba?	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.draft ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.ft_percentage ?x .
who plays <e> in buffy the vampire slayer?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.episodes_appeared_in ?x .
who does <e> play for 2012?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:sports.sports_award_winner.awards ?y .?y ns:sports.sports_award.team ?x .
when was the last time the <e> were in the super bowl?	ns:sports.sports_team.championships ?x .	ns:sports.sports_team.founded ?x .
which taurus person was the son of <e>	ns:people.person.children ?x .	ns:people.person.place_of_birth ?x .
who won the governor election in <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.jurisdiction ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.location.people_born_here ?x .
who was <e> of the us in 1971?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:government.government_office_category.officeholders ?x .
who is the <e> 2012?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:business.job_title.people_with_this_title ?x .
what book did <e> write on evolution?	ns:book.author.works_written ?x .	ns:base.concepts.concept_developer.concepts_developed ?x .
who does <e> play in seinfeld?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:fictional_universe.person_in_fiction.representations_in_fiction ?y .?y ns:film.film_character.portrayed_in_films ?x .
who is the <e> now?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:organization.role.leaders ?x .
which artist was the daughter of <e>	ns:people.person.children ?x .	ns:people.person.spouse_s ?x .
what team does <e> play for 2011?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.date ?x .
who does danneel harris play on <e>?	ns:tv.tv_series_season.regular_cast ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_series_season.series ?y .?y ns:tv.tv_program.seasons ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:type.object.type ?x .
which building or building complex did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:education.academic.advisors ?y .?y ns:business.board_member.organization_board_memberships ?x .
who was <e> second wife?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.children ?y .?y ns:people.person.parents ?x .
who was <e> when alatriste was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:base.firsts.achievement.firsts ?x .
who was <e> first girlfriend?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:base.popstra.celebrity.dated ?y .?y ns:base.popstra.sww_base.heat ?x .
who shot and killed <e>?	ns:user.alexander.misc.murdered_person.murdered_by ?x .	ns:user.alexander.misc.murdered_person.place_murdered ?x .
who has won the most <e>?	ns:sports.sports_award_type.winners ?y .?y ns:sports.sports_award.award_winner ?x .	ns:time.recurring_event.current_frequency ?y .?y ns:type.object.name ?x .
what is the <e> in dubai called?	ns:architecture.structure.owner ?y .?y ns:architecture.ownership.structure ?x .	ns:location.location.nearby_airports ?y .?y ns:common.topic.alias ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.location.containedby ?x .
what teams did <e> play for in the nba?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.salary ?x .
which album did <e> release in 1952	ns:music.artist.album ?x .	ns:music.artist.active_start ?x .
